web-scraper-order,web-scraper-start-url,apartamente,apartamente-href,no_of_rooms,surface,no_of_bathrooms,partitioning,price,no_of_terraces,cartier,title,age,user_id,city,county
1628179874-990,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"4 camere, decomandat, 94 mp, zona strazii Ion Mester",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-4-camere-manastur-blitz64584ai,4,94,2,Decomandat,500,2,Manastur,"4 camere, decomandat, 94 mp, zona strazii Ion Mester", Nou,1,Cluj,Cluj-Napoca
1628179960-1027,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=3,"2 camere, 57 mp, decomandat, parcare, zona strazii Nicolae Titulescu!",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gheorgheni-blitz36006ai,2,57,1,Decomandat,350,0,Gheorgheni,"2 camere, 57 mp, decomandat, parcare, zona strazii Nicolae Titulescu!", Nou,1,Cluj,Cluj-Napoca
1628178959-595,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=15,"Apartament cu 3 camere, 110 mp, cu parcare si terasa, zona strazii Calea Turzii",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-zorilor-blitz62443ai,3,110,2,Semidecomandat,550,1,Zorilor,"Apartament cu 3 camere, 110 mp, cu parcare si terasa, zona strazii Calea Turzii", Vechi,1,Cluj,Cluj-Napoca
1628179311-747,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=11,"Apartament 2 camere, 50 mp, parcare, zona Parcul Babes",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-plopilor-blitz31416ai,2,50,1,Semidecomandat,400,0,Plopilor,"Apartament 2 camere, 50 mp, parcare, zona Parcul Babes", Nou,1,Cluj,Cluj-Napoca
1628179742-932,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=5,"Apartament 2 camere decomandate, 65 mp, gradina, zona UMF",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz40730ai,2,65,2,Decomandat,400,0,Central,"Apartament 2 camere decomandate, 65 mp, gradina, zona UMF", Nou,1,Cluj,Cluj-Napoca
1628179579-862,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=7,Iti doresti un apartament cu 4 camere cu view catre padure? Ai gasit!,https://www.blitz.ro/cluj-napoca/apartament-inchiriat-4-camere-manastur-blitz63966ai,4,120,2,Semidecomandat,560,1,Manastur,Iti doresti un apartament cu 4 camere cu view catre padure? Ai gasit!, Nou,1,Cluj,Cluj-Napoca
1628179126-667,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"Apartament 2 camere, 45 mp, pet friendly, parcare, zona strazii Negoiu",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-manastur-blitz47631ai,2,45,1,Semidecomandat,350,1,Manastur,"Apartament 2 camere, 45 mp, pet friendly, parcare, zona strazii Negoiu", Nou,1,Cluj,Cluj-Napoca
1628179897-999,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=3,"Apartament 2 camere, decomandat, 65 mp, zona Interservisan",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gheorgheni-blitz52814ai,2,65,1,Decomandat,360,1,Gheorgheni,"Apartament 2 camere, decomandat, 65 mp, zona Interservisan", Vechi,1,Cluj,Cluj-Napoca
1628179591-867,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=7,"Apartament cu 3 camere, 65 mp, mobilat modern, zona strazii Dunarii",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-intre-lacuri-blitz51306ai,3,64,2,Semidecomandat,550,2,Intre Lacuri,"Apartament cu 3 camere, 65 mp, mobilat modern, zona strazii Dunarii", Nou,1,Cluj,Cluj-Napoca
1628179667-900,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Apartament 3 camere, mobilat modern, 54 mp, zona Iulius Mall",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-gheorgheni-blitz30230ai,3,54,1,Semidecomandat,490,1,Gheorgheni,"Apartament 3 camere, mobilat modern, 54 mp, zona Iulius Mall", Vechi,1,Cluj,Cluj-Napoca
1628178941-587,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=15,"Apartament finisat lux, 2 camere, prima inchiriere, Scala Center",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz62062ai,2,60,1,Semidecomandat,650,1,Central,"Apartament finisat lux, 2 camere, prima inchiriere, Scala Center", Nou,1,Cluj,Cluj-Napoca
